experiment_id,experiment_title_inferred,experiment_dir,artifact_path,artifact_type,file_extension,file_size_bytes,modified_time,likely_role,manuscript_relevance,notes
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/.DS_Store,unknown,,8196,2026-05-02T07:40:16,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/__pycache__/run_mnist_experiment.cpython-313.pyc,unknown,.pyc,4160,2026-05-01T22:39:38,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/data/MNIST/raw/t10k-images-idx3-ubyte,unknown,,7840016,2026-05-01T22:49:02,raw dataset or cached data,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/data/MNIST/raw/t10k-images-idx3-ubyte.gz,unknown,.gz,1648877,2026-05-01T22:49:02,raw dataset or cached data,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/data/MNIST/raw/t10k-labels-idx1-ubyte,unknown,,10008,2026-05-01T22:49:04,raw dataset or cached data,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/data/MNIST/raw/t10k-labels-idx1-ubyte.gz,unknown,.gz,4542,2026-05-01T22:49:04,raw dataset or cached data,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/data/MNIST/raw/train-images-idx3-ubyte,unknown,,47040016,2026-05-01T22:48:58,raw dataset or cached data,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/data/MNIST/raw/train-images-idx3-ubyte.gz,unknown,.gz,9912422,2026-05-01T22:48:58,raw dataset or cached data,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/data/MNIST/raw/train-labels-idx1-ubyte,unknown,,60008,2026-05-01T22:49:00,raw dataset or cached data,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/data/MNIST/raw/train-labels-idx1-ubyte.gz,unknown,.gz,28881,2026-05-01T22:49:00,raw dataset or cached data,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/.DS_Store,unknown,,6148,2026-05-01T22:48:48,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/__init__.py,code,.py,0,2026-05-01T22:38:04,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/__pycache__/__init__.cpython-313.pyc,unknown,.pyc,128,2026-05-01T22:39:38,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/__pycache__/__init__.cpython-314.pyc,unknown,.pyc,167,2026-05-01T22:48:44,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
