experiment_name,analysis_id,schema_version,phase,seed,world_count,route_length,routes_per_world,modes,node_count,total_transitions,variant,variant_family,variant_description,is_oracle_baseline,capacity_condition,capacity_used,context_slots,capacity_ratio,evictions,hash_collisions,conflicting_keys,replay_refresh,parameter_isolation,recurrent_eval,structural_plasticity,route_table_accuracy_all,route_table_correct_all,route_table_total_all,composition_accuracy_seen_routes,composition_correct_seen_routes,composition_total_seen_routes,composition_accuracy_suffix_routes,composition_correct_suffix_routes,composition_total_suffix_routes,first_step_context_accuracy,first_step_context_correct,first_step_context_total,suffix_generalization_gap,route_table_composition_gap_seen,route_table_composition_gap_suffix,retention_world,world_age_from_end
exp13_2_baseline_suite,exp13_2,exp13_2_metrics_v1,baseline_comparison,0,4,4,24,4,429,384,exp13_2_cirm_full,context_indexed_route_memory,Context-indexed structural route memory with recurrent composition.,False,none,384,,,,,,,,True,True,1.0,384,384,1.0,96,96,1.0,192,192,1.0,96.0,96.0,0.0,0.0,0.0,,
exp13_2_baseline_suite,exp13_2,exp13_2_metrics_v1,baseline_comparison,0,4,4,24,4,429,384,exp13_2_cirm_no_recurrence_at_eval,context_indexed_route_memory,CIRM route table with recurrent traversal disabled at evaluation.,False,none,384,,,,,,,,False,True,1.0,384,384,0.0,0,96,0.0,0,192,1.0,96.0,96.0,0.0,1.0,1.0,,
exp13_2_baseline_suite,exp13_2,exp13_2_metrics_v1,baseline_comparison,0,4,4,24,4,429,384,exp13_2_cirm_no_structural_plasticity,context_indexed_route_memory,CIRM ablation with no structural route storage.,False,none,0,,,,,,,,True,False,0.0,0,384,0.0,0,96,0.0,0,192,0.0,0.0,96.0,0.0,0.0,0.0,,
exp13_2_baseline_suite,exp13_2,exp13_2_metrics_v1,baseline_comparison,0,4,4,24,4,429,384,baseline_shared_transition_table,shared_lookup,No-context transition lookup keyed only by source node and mode; conflicts resolved by majority vote.,False,none,312,,,,,24.0,,,,,0.8125,312,384,0.25,24,96,1.0,192,192,0.25,24.0,96.0,-0.75,0.5625,-0.1875,,
exp13_2_baseline_suite,exp13_2,exp13_2_metrics_v1,baseline_comparison,0,4,4,24,4,429,384,baseline_context_gated_transition_table,context_gated_lookup,"Explicit context/world-gated lookup table keyed by world, source node, and mode.",True,none,384,,,,,,,,,,1.0,384,384,1.0,96,96,1.0,192,192,1.0,96.0,96.0,0.0,0.0,0.0,,
exp13_2_baseline_suite,exp13_2,exp13_2_metrics_v1,baseline_comparison,0,4,4,24,4,429,384,baseline_route_endpoint_memorizer,whole_route_memorizer,Memorizes whole seen routes; does not store reusable one-step transitions.,False,none,96,,,,,,,,,,0.0,0,384,1.0,96,96,0.0,0,192,0.0,0.0,96.0,1.0,-1.0,0.0,,
exp13_2_baseline_suite,exp13_2,exp13_2_metrics_v1,baseline_comparison,0,4,4,24,4,429,384,baseline_recurrent_non_plastic_rule,recurrent_non_plastic,Recurrent execution with a fixed deterministic hash rule and no stored route structure.,False,none,0,,,,,,,,,,0.0026041666666666665,1,384,0.0,0,96,0.005208333333333333,1,192,0.0,0.0,96.0,-0.005208333333333333,0.0026041666666666665,-0.0026041666666666665,,
exp13_2_baseline_suite,exp13_2,exp13_2_metrics_v1,baseline_comparison,0,4,4,24,4,429,384,baseline_superposition_hash_slots_4,superposition_hash_lookup,Compact context-conditioned table using fewer context slots than worlds; collisions overwrite older entries.,False,none,384,4.0,,,0.0,,,,,,1.0,384,384,1.0,96,96,1.0,192,192,1.0,96.0,96.0,0.0,0.0,0.0,,
exp13_2_baseline_suite,exp13_2,exp13_2_metrics_v1,baseline_comparison,0,4,4,24,4,429,384,baseline_superposition_hash_slots_2,superposition_hash_lookup,Compact context-conditioned table using fewer context slots than worlds; collisions overwrite older entries.,False,none,336,2.0,,,48.0,,,,,,0.875,336,384,0.5,48,96,1.0,192,192,0.5,48.0,96.0,-0.5,0.375,-0.125,,
exp13_2_baseline_suite,exp13_2,exp13_2_metrics_v1,baseline_comparison,0,4,4,24,4,429,384,baseline_superposition_hash_slots_1,superposition_hash_lookup,Compact context-conditioned table using fewer context slots than worlds; collisions overwrite older entries.,False,none,312,1.0,,,72.0,,,,,,0.8125,312,384,0.25,24,96,1.0,192,192,0.25,24.0,96.0,-0.75,0.5625,-0.1875,,
exp13_2_baseline_suite,exp13_2,exp13_2_metrics_v1,baseline_comparison,0,4,4,24,4,429,384,baseline_superposition_hash_slots_1,superposition_hash_lookup,Compact context-conditioned table using fewer context slots than worlds; collisions overwrite older entries.,False,none,312,1.0,,,72.0,,,,,,0.8125,312,384,0.25,24,96,1.0,192,192,0.25,24.0,96.0,-0.75,0.5625,-0.1875,,
exp13_2_baseline_suite,exp13_2,exp13_2_metrics_v1,baseline_comparison,0,4,8,24,4,813,768,exp13_2_cirm_full,context_indexed_route_memory,Context-indexed structural route memory with recurrent composition.,False,none,768,,,,,,,,True,True,1.0,768,768,1.0,96,96,1.0,576,576,1.0,96.0,96.0,0.0,0.0,0.0,,
exp13_2_baseline_suite,exp13_2,exp13_2_metrics_v1,baseline_comparison,0,4,8,24,4,813,768,exp13_2_cirm_no_recurrence_at_eval,context_indexed_route_memory,CIRM route table with recurrent traversal disabled at evaluation.,False,none,768,,,,,,,,False,True,1.0,768,768,0.0,0,96,0.0,0,576,1.0,96.0,96.0,0.0,1.0,1.0,,
exp13_2_baseline_suite,exp13_2,exp13_2_metrics_v1,baseline_comparison,0,4,8,24,4,813,768,exp13_2_cirm_no_structural_plasticity,context_indexed_route_memory,CIRM ablation with no structural route storage.,False,none,0,,,,,,,,True,False,0.0,0,768,0.0,0,96,0.0,0,576,0.0,0.0,96.0,0.0,0.0,0.0,,
exp13_2_baseline_suite,exp13_2,exp13_2_metrics_v1,baseline_comparison,0,4,8,24,4,813,768,baseline_shared_transition_table,shared_lookup,No-context transition lookup keyed only by source node and mode; conflicts resolved by majority vote.,False,none,696,,,,,24.0,,,,,0.90625,696,768,0.25,24,96,1.0,576,576,0.25,24.0,96.0,-0.75,0.65625,-0.09375,,
