phase,variant,variant_family,world_count,route_length,capacity_condition,context_slots,capacity_ratio,retention_world,world_age_from_end,seed_count,row_count,route_table_accuracy_all_mean,route_table_accuracy_all_std,route_table_accuracy_all_ci95_low,route_table_accuracy_all_ci95_high,route_table_accuracy_all_n,composition_accuracy_seen_routes_mean,composition_accuracy_seen_routes_std,composition_accuracy_seen_routes_ci95_low,composition_accuracy_seen_routes_ci95_high,composition_accuracy_seen_routes_n,composition_accuracy_suffix_routes_mean,composition_accuracy_suffix_routes_std,composition_accuracy_suffix_routes_ci95_low,composition_accuracy_suffix_routes_ci95_high,composition_accuracy_suffix_routes_n,first_step_context_accuracy_mean,first_step_context_accuracy_std,first_step_context_accuracy_ci95_low,first_step_context_accuracy_ci95_high,first_step_context_accuracy_n,suffix_generalization_gap_mean,suffix_generalization_gap_std,suffix_generalization_gap_ci95_low,suffix_generalization_gap_ci95_high,suffix_generalization_gap_n,route_table_composition_gap_seen_mean,route_table_composition_gap_seen_std,route_table_composition_gap_seen_ci95_low,route_table_composition_gap_seen_ci95_high,route_table_composition_gap_seen_n,route_table_composition_gap_suffix_mean,route_table_composition_gap_suffix_std,route_table_composition_gap_suffix_ci95_low,route_table_composition_gap_suffix_ci95_high,route_table_composition_gap_suffix_n,capacity_used_mean,capacity_used_std,capacity_used_ci95_low,capacity_used_ci95_high,capacity_used_n,evictions_mean,evictions_std,evictions_ci95_low,evictions_ci95_high,evictions_n,hash_collisions_mean,hash_collisions_std,hash_collisions_ci95_low,hash_collisions_ci95_high,hash_collisions_n
baseline_comparison,baseline_context_gated_transition_table,context_gated_lookup,4,4,none,,,,,20,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,384.0,0.0,384.0,384.0,20,,,,,0,,,,,0
baseline_comparison,baseline_context_gated_transition_table,context_gated_lookup,4,8,none,,,,,20,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,768.0,0.0,768.0,768.0,20,,,,,0,,,,,0
baseline_comparison,baseline_context_gated_transition_table,context_gated_lookup,4,12,none,,,,,20,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,1152.0,0.0,1152.0,1152.0,20,,,,,0,,,,,0
baseline_comparison,baseline_context_gated_transition_table,context_gated_lookup,4,16,none,,,,,20,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,1536.0,0.0,1536.0,1536.0,20,,,,,0,,,,,0
baseline_comparison,baseline_context_gated_transition_table,context_gated_lookup,8,4,none,,,,,20,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,768.0,0.0,768.0,768.0,20,,,,,0,,,,,0
baseline_comparison,baseline_context_gated_transition_table,context_gated_lookup,8,8,none,,,,,20,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,1536.0,0.0,1536.0,1536.0,20,,,,,0,,,,,0
baseline_comparison,baseline_context_gated_transition_table,context_gated_lookup,8,12,none,,,,,20,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,2304.0,0.0,2304.0,2304.0,20,,,,,0,,,,,0
baseline_comparison,baseline_context_gated_transition_table,context_gated_lookup,8,16,none,,,,,20,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,3072.0,0.0,3072.0,3072.0,20,,,,,0,,,,,0
baseline_comparison,baseline_context_gated_transition_table,context_gated_lookup,16,4,none,,,,,20,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,1536.0,0.0,1536.0,1536.0,20,,,,,0,,,,,0
baseline_comparison,baseline_context_gated_transition_table,context_gated_lookup,16,8,none,,,,,20,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,3072.0,0.0,3072.0,3072.0,20,,,,,0,,,,,0
